employee_id,name,age,city,department,education,experience_years,salary,performance_score,projects_completed,hours_per_week,last_review_notes
1000,Bilal,26.0,Islamabad,Data,PhD,7.0,154826.0,77.21,13.0,43.0,model data data feature pipeline training
1001,Zara,32.0,Peshawar,AI,Bachelors,11.0,154881.0,87.03,,57.0,analysis model model data pipeline analysis
1002,Ayesha,43.0,Quetta,Data,Masters,,,87.85,0.0,55.0,data analysis training model training pipeline system learning prediction system model
1003,Usman,41.0,,AI,PhD,6.0,125155.0,80.34,15.0,,system system data model neural learning
1004,Bilal,30.0,Quetta,Backend,Bachelors,5.0,,58.34,2.0,35.0,model data pipeline training system learning model pipeline feature prediction training
1005,Fatima,42.0,Karachi,Backend,PhD,4.0,139246.0,89.87,8.0,56.0,system neural training learning system pipeline
1006,Ahmed,41.0,,Frontend,Masters,9.0,134948.0,,3.0,55.0,pipeline learning feature learning system prediction
1007,Bilal,26.0,Quetta,Data,Bachelors,7.0,61341.0,54.31,4.0,33.0,
1008,Ayesha,28.0,Quetta,AI,Bachelors,4.0,137554.0,73.19,10.0,37.0,data neural training pipeline learning learning feature analysis feature neural
1009,Usman,22.0,Karachi,Backend,Bachelors,8.0,147798.0,58.7,,48.0,system prediction learning neural feature training learning learning pipeline analysis system
1010,Zara,32.0,Karachi,ML,Masters,8.0,86330.0,66.87,2.0,56.0,analysis prediction training model feature pipeline analysis data pipeline learning neural neural
1011,Ayesha,33.0,Quetta,Backend,PhD,0.0,127759.0,50.9,5.0,34.0,prediction feature analysis learning pipeline training analysis learning system
1012,Ayesha,,Lahore,ML,Bachelors,5.0,126807.0,70.02,10.0,42.0,analysis feature analysis model system model prediction
1013,Ahmed,27.0,,AI,PhD,6.0,73313.0,77.49,8.0,45.0,data data analysis model feature training prediction analysis learning
1014,Hina,30.0,Quetta,Backend,PhD,2.0,86900.0,80.98,14.0,30.0,prediction learning analysis pipeline prediction prediction feature pipeline feature system pipeline system
1015,Usman,33.0,,Backend,Masters,6.0,118840.0,83.17,2.0,42.0,learning data system analysis data data model pipeline data prediction training model
1016,Sara,37.0,Karachi,AI,Bachelors,10.0,,91.81,0.0,51.0,data neural analysis feature training analysis data neural
1017,Ayesha,,Quetta,Backend,,10.0,136367.0,60.77,19.0,40.0,learning model neural neural neural feature pipeline prediction model neural system
1018,Hina,34.0,Quetta,ML,Bachelors,6.0,89156.0,56.02,18.0,50.0,
